Name,overcatch,overcatch_abort,Number of Catch And Return Null AP,Number of Destructive Wrapping AP,Number of Catch and Do Nothing AP,Number of Catch Generic AP,Number of Dummy Handler AP,Number of Ignoring Interrupted Exception AP,Number of Incomplete Implementation AP,Number of Log and Return Null AP,Number of Log and Throw AP,Number of Mutliline log AP,Number of Nested Try AP,Number of Relying on Get Cause AP,Number of Throw Within Finally AP,Number of Throws Generic AP,Number of Throws Kitchen Sink AP,Code_Ownership_count,lines_added,lines_deleted,post_release_defects,total_change,pre_release_defects,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,3,3,0,17,2,2,0,0,0,0,0,0,5.67,0,0,0,0
/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs/src/main/java/org/apache/hadoop/mapreduce/v2/hs/HistoryClientService.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,1,1,1,1,11,0,10,0,3,0,1,25,25,25,7,25,0,3,3,19,444,56,363,200,176,25,232,158,74,4,4,5,1,1,0.07,39,39,40,25
/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/snapshot/FileWithSnapshotFeature.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,2,0,3,3,3,1,16,0,13,2,1,0,0,11,11,11,2,11,1,0,0,10,228,22,168,67,101,42,120,61,59,13,13,13,6,5,0.25,41,41,43,16
/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/protocol/JournalProtocol.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,3,0,0,0,3,91,6,21,20,1,64,10,10,0,0,0,0,0,0,3.05,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/WasbRemoteCallHelper.java,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,5,5,6,2,34,2,29,3,1,0,4,6,6,6,3,6,0,1,2,3,297,28,214,68,144,57,129,60,69,20,20,25,4,4,0.27,33,32,40,12
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/erasurecode/coder/ErasureDecoder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,2,1,10,0,6,2,1,1,0,13,14,13,3,14,0,0,7,7,198,29,109,45,50,60,79,38,41,5,5,5,1,2,0.55,25,25,27,13
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-web-proxy/src/main/java/org/apache/hadoop/yarn/server/webproxy/AppReportFetcher.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,2,2,1,10,0,8,2,3,0,0,10,8,10,9,10,0,0,1,9,172,13,112,42,53,47,74,38,36,4,4,4,1,2,0.42,20,20,20,10
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/server/api/protocolrecords/RemoveFromClusterNodeLabelsRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,7,0,7,0,1,1,0,1,3,2,0,3,0,0,0,3,45,6,22,18,3,17,12,10,2,1,1,1,1,0,0.77,1,1,1,1
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/server/api/protocolrecords/impl/pb/RunSharedCacheCleanerTaskRequestPBImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,4,0,4,0,1,0,0,4,4,4,3,4,0,1,0,3,53,7,29,14,12,17,20,11,9,2,2,3,1,1,0.59,6,6,7,4
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/YarnClientApplication.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,3,0,3,0,1,0,0,3,3,3,2,3,0,0,0,3,52,8,22,14,4,22,15,11,4,1,1,1,1,0,1,3,3,3,3
/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs/src/main/java/org/apache/hadoop/mapreduce/v2/hs/webapp/HsView.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,1,1,11,0,8,2,1,0,0,7,7,7,0,7,0,2,5,0,139,12,75,23,45,52,35,21,14,2,2,3,1,1,0.69,8,8,9,7
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/viewfs/NotInMountpointException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,3,0,3,0,1,0,0,3,3,3,1,3,0,0,0,3,48,6,20,13,3,23,12,9,3,1,1,1,1,0,1.15,3,3,3,3
/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/protocol/BlockIdCommand.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,4,0,3,1,1,0,0,3,3,3,2,3,0,0,0,3,49,5,20,11,5,24,14,9,5,1,1,1,1,0,1.2,3,3,3,3
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/ftp/FTPFileSystem.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,13,0,0,0,0,0,2,2,2,1,18,0,14,4,2,0,10,32,32,32,1,32,3,13,1,15,713,43,505,201,323,172,350,170,180,7,7,9,5,3,0.34,88,88,94,38
/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/AclStorage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,2,1,24,1,12,10,1,12,1,13,13,1,0,13,1,4,0,8,402,41,186,75,115,175,127,64,63,10,10,15,3,2,0.94,31,31,37,15
/hadoop-tools/hadoop-streaming/src/main/java/org/apache/hadoop/typedbytes/TypedBytesInput.java,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,2,2,1,12,0,7,4,2,1,1,34,34,33,1,34,0,2,1,31,506,40,288,79,191,180,229,81,148,15,15,16,15,2,0.63,72,72,74,65
/hadoop-hdfs-project/hadoop-hdfs-rbf/src/main/java/org/apache/hadoop/hdfs/server/federation/store/records/impl/pb/MembershipStatePBImpl.java,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,6,0,6,0,1,0,0,35,35,35,1,35,0,0,0,35,335,40,274,124,119,21,153,75,78,3,3,3,1,1,0.08,57,57,57,35
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/KillApplicationRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,1,6,0,6,0,1,1,0,1,5,4,0,5,0,0,0,5,78,8,31,27,3,39,16,14,2,1,1,1,1,0,1.26,1,1,1,1
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/RpcServerException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,7,0,3,4,1,0,1,4,4,4,0,4,0,0,0,4,62,6,18,9,5,38,13,9,4,1,1,1,1,0,2.11,4,4,4,4
/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/FSDirAppendOp.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,2,1,0,3,0,5,5,6,1,44,2,30,11,1,4,0,5,5,1,0,5,2,3,0,0,275,20,177,65,111,78,115,54,61,11,11,14,3,3,0.44,25,25,30,7
/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/SpillRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,1,1,10,0,8,1,1,0,0,9,9,9,2,9,0,0,0,9,153,17,105,50,50,31,72,42,30,3,3,3,1,3,0.3,13,13,13,9
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/DataInputByteBuffer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,4,0,4,0,2,0,0,12,12,12,6,12,0,1,0,11,98,11,70,26,31,17,51,25,26,3,3,4,1,1,0.24,16,16,17,12
/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/fsdataset/DataNodeVolumeMetrics.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,4,0,4,0,1,1,0,35,35,34,19,35,0,0,0,35,289,47,213,92,85,29,146,81,65,2,2,2,1,1,0.14,43,43,43,35
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-router/src/main/java/org/apache/hadoop/yarn/server/router/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,1,0,18,1,1,0,0,0,0,0,0,18,0,0,0,0
/hadoop-tools/hadoop-resourceestimator/src/main/java/org/apache/hadoop/resourceestimator/solver/preprocess/SolverPreprocessor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,1,33,0,18,13,1,0,1,5,5,5,0,5,0,0,0,5,219,14,115,55,62,90,78,46,32,5,5,5,1,2,0.78,15,15,16,5
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/event/EventDispatcher.java,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,3,1,11,0,10,0,2,0,1,6,6,6,5,6,0,0,2,4,134,15,91,33,47,29,60,26,34,6,6,8,5,3,0.32,15,15,18,10
/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/BlockScanner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,2,2,2,1,15,0,10,4,3,2,9,16,16,14,8,16,7,2,0,7,376,38,241,96,129,97,155,77,78,4,4,4,3,2,0.4,35,35,36,22
/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/TaskInputOutputContext.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,5,0,0,0,5,72,9,15,14,0,48,10,10,0,0,0,0,0,0,3.2,0,0,0,0
/hadoop-hdfs-project/hadoop-hdfs-rbf/src/main/java/org/apache/hadoop/hdfs/server/federation/resolver/order/HashFirstResolver.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,2,20,0,12,8,1,1,0,2,2,1,0,2,0,1,0,1,71,4,30,12,16,37,19,10,9,4,4,5,4,2,1.23,5,5,6,5
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-registry/src/main/java/org/apache/hadoop/registry/client/impl/zk/RegistryOperationsService.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,4,0,1,1,1,1,6,0,5,1,1,0,1,12,12,12,1,12,0,0,1,11,165,23,102,59,39,40,66,42,24,2,2,2,1,1,0.39,14,14,14,12
/hadoop-hdfs-project/hadoop-hdfs-rbf/src/main/java/org/apache/hadoop/hdfs/server/federation/store/protocol/GetRouterRegistrationRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,4,0,4,0,1,2,0,2,4,2,0,4,0,0,0,4,47,6,20,14,4,21,13,10,3,1,1,1,1,0,1.05,2,2,2,2
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/tools/protocolPB/GetUserMappingsProtocolClientSideTranslatorPB.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,5,0,5,0,1,0,1,4,4,4,1,4,0,0,0,4,70,9,43,27,13,18,28,21,7,2,2,2,1,1,0.42,5,5,5,4
/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/MapOutputFile.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,2,0,1,0,3,3,16,16,1,16,0,0,0,16,168,23,41,35,5,104,30,28,2,1,1,1,1,0,2.54,3,3,3,3
/hadoop-tools/hadoop-streaming/src/main/java/org/apache/hadoop/streaming/StreamUtil.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,0,0,2,2,2,1,12,0,11,1,1,11,3,11,11,0,0,11,5,0,0,6,204,21,152,53,90,32,109,51,58,6,6,6,1,3,0.21,26,26,27,11
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/SchedulerNode.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,1,1,20,0,1,1,1,1,9,0,5,3,2,0,1,39,41,41,14,41,0,1,3,37,500,59,270,111,116,171,184,97,87,4,4,5,3,2,0.63,57,57,59,43
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/util/timeline/TimelineUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,3,0,1,1,1,1,11,0,5,5,1,12,5,12,12,0,0,12,0,0,0,12,207,19,103,48,46,85,63,38,25,2,2,3,1,1,0.83,15,15,17,12
/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-services/hadoop-yarn-services-core/src/main/java/org/apache/hadoop/yarn/service/api/records/ReadinessCheck.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,195,0,1,195,0,1,1,1,1,5,0,3,1,2,0,1,18,16,18,6,18,1,1,0,16,195,27,122,68,39,46,74,43,31,3,3,6,3,1,0.38,21,21,24,20
/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/CloseableReferenceCount.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,10,0,5,5,1,0,1,7,7,7,1,7,0,0,0,7,125,11,46,19,21,68,33,19,14,4,4,4,3,2,1.48,12,12,12,9
/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/task/MapContextImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,5,0,4,0,1,0,0,5,5,5,2,5,0,0,0,5,83,10,46,33,7,27,28,21,7,1,1,1,1,0,0.59,5,5,5,5
/hadoop-tools/hadoop-rumen/src/main/java/org/apache/hadoop/tools/rumen/Anonymizer.java,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,3,3,3,1,25,3,18,3,1,2,0,8,8,6,9,8,0,5,0,3,272,39,185,62,119,48,144,58,86,6,6,7,3,3,0.26,25,25,26,10
