lines_added,lines_deleted,file
4,0,.gitignore
1,0,LICENSE.txt
24,0,NOTICE.txt
145,0,dev-support/bin/verify-license-files
2,2,hadoop-assemblies/pom.xml
45,2,hadoop-assemblies/src/main/resources/assemblies/hadoop-yarn-dist.xml
1,1,hadoop-build-tools/pom.xml
2,3,hadoop-build-tools/src/main/resources/checkstyle/checkstyle.xml
2,2,hadoop-client-modules/hadoop-client-api/pom.xml
2,2,hadoop-client-modules/hadoop-client-check-invariants/pom.xml
2,2,hadoop-client-modules/hadoop-client-check-test-invariants/pom.xml
5,2,hadoop-client-modules/hadoop-client-integration-tests/pom.xml
3,2,hadoop-client-modules/hadoop-client-minicluster/pom.xml
2,2,hadoop-client-modules/hadoop-client-runtime/pom.xml
2,2,hadoop-client-modules/hadoop-client/pom.xml
1,1,hadoop-client-modules/pom.xml
2,2,hadoop-cloud-storage-project/hadoop-cloud-storage/pom.xml
2,2,hadoop-cloud-storage-project/pom.xml
2,2,hadoop-common-project/hadoop-annotations/pom.xml
2,2,hadoop-common-project/hadoop-auth-examples/pom.xml
14,2,hadoop-common-project/hadoop-auth/pom.xml
53,27,hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/KerberosAuthenticator.java
14,8,hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/Signer.java
29,0,hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/client/TestKerberosAuthenticator.java
7,0,hadoop-common-project/hadoop-common/dev-support/findbugsExcludeFile.xml
2,2,hadoop-common-project/hadoop-common/pom.xml
10,1,hadoop-common-project/hadoop-common/src/main/bin/hadoop
6,1,hadoop-common-project/hadoop-common/src/main/bin/hadoop.cmd
8,0,hadoop-common-project/hadoop-common/src/main/conf/hadoop-policy.xml
2,2,hadoop-common-project/hadoop-common/src/main/conf/log4j.properties
156,8,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/Configuration.java
2,2,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/conf/ReconfigurableBase.java
6,29,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/KeyProvider.java
9,20,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java
2,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/CommonConfigurationKeys.java
2,28,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/CommonConfigurationKeysPublic.java
9,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FSDataOutputStream.java
2,2,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileContext.java
41,20,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileStatus.java
69,3,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileSystem.java
258,20,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileUtil.java
12,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FilterFileSystem.java
14,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/HarFileSystem.java
46,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/InvalidPathHandleException.java
39,3,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/LocatedFileStatus.java
179,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/Options.java
2,2,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/PathExistsException.java
50,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/PathHandle.java
70,7,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/RawLocalFileSystem.java
119,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/RawPathHandle.java
5,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/StorageStatistics.java
2,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/StorageType.java
34,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/permission/FsPermission.java
5,6,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/protocolPB/PBHelper.java
1,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/shell/FsCommand.java
78,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/shell/Head.java
90,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/store/EtagChecksum.java
28,0,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/store/package-info.java
67,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/viewfs/ConfigUtil.java
10,6,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/viewfs/Constants.java
312,46,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/viewfs/InodeTree.java
7,6,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/viewfs/ViewFileSystem.java
7,7,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/viewfs/ViewFs.java
30,30,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ha/ZKFailoverController.java
64,7,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/http/HttpServer2.java
0,12,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/ElasticByteBufferPool.java
62,21,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/IOUtils.java
0,10,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/MultipleIOException.java
2,1,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/io/compress/BZip2Codec.java
